date,flow
2010-10-1,0.81269216
2010-10-2,0.74473184
2010-10-3,0.69092992
2010-10-4,0.69092992
2010-10-5,0.67393984
2010-10-6,0.64562304
2010-10-7,0.62580128
2010-10-8,0.60597952
2010-10-9,0.60031616
2010-10-10,0.58615776
2010-10-11,0.57483104
2010-10-12,0.56350432
2010-10-13,0.56067264
2010-10-14,0.55500928
2010-10-15,0.55500928
2010-10-16,0.54934592
2010-10-17,0.54651424
2010-10-18,0.72774176
2010-10-19,0.62580128
2010-10-20,0.47572224
2010-10-21,0.47005888
2010-10-22,0.45590048
2010-10-23,0.4672272
2010-10-24,0.77304864
2010-10-25,0.68243488
2010-10-26,0.88348416
2010-10-27,2.18605696
2010-10-28,2.78070976
2010-10-29,1.67352288
2010-10-30,1.23744416
2010-10-31,1.05904832
2010-11-1,0.95144448
2010-11-2,0.88065248
2010-11-3,0.86083072
2010-11-4,0.84384064
2010-11-5,0.80986048
2010-11-6,0.79003872
2010-11-7,0.78437536
2010-11-8,0.78154368
2010-11-9,0.78154368
2010-11-10,0.78437536
2010-11-11,0.79003872
2010-11-12,0.74473184
2010-11-13,0.8070288
2010-11-14,0.97409792
2010-11-15,1.06471168
2010-11-16,1.09302848
2010-11-17,1.05338496
2010-11-18,0.99958304
2010-11-19,0.94294944
2010-11-20,0.88348416
2010-11-21,0.85516736
2010-11-22,0.8636624
2010-11-23,0.80419712
2010-11-24,0.80986048
2010-11-25,0.77021696
2010-11-26,0.75605856
2010-11-27,0.75889024
2010-11-28,0.75322688
2010-11-29,0.778712
2010-11-30,0.8636624
2010-12-1,0.9344544
2010-12-2,0.90896928
2010-12-3,0.84667232
2010-12-4,0.81835552
2010-12-5,0.78720704
2010-12-6,0.76738528
2010-12-7,0.71641504
2010-12-8,0.62580128
2010-12-9,0.61447456
2010-12-10,0.56916768
2010-12-11,0.43041536
2010-12-12,0.44174208
2010-12-13,0.5380192
2010-12-14,0.5804944
2010-12-15,0.5804944
2010-12-16,0.62580128
2010-12-17,0.62863296
2010-12-18,0.58615776
2010-12-19,0.58615776
2010-12-20,0.55500928
2010-12-21,0.5380192
2010-12-22,0.62580128
2010-12-23,0.62580128
2010-12-24,0.62580128
2010-12-25,0.5804944
2010-12-26,0.5804944
2010-12-27,0.62580128
2010-12-28,0.62580128
2010-12-29,0.62580128
2010-12-30,0.71641504
2010-12-31,0.94011776
2011001,0.80419712
2011002,0.89481088
2011003,0.94011776
2011004,0.849504
2011005,0.80419712
2011006,0.7928704
2011007,0.71924672
2011008,0.70508832
2011009,0.62863296
2011010,0.61447456
2011011,0.61447456
2011012,0.60031616
2011013,0.60031616
2011014,0.61447456
2011015,0.60031616
2011016,0.58615776
2011017,0.60031616
2011018,0.56916768
2011019,0.55500928
2011020,0.54085088
2011021,0.54085088
2011022,0.52669248
2011023,0.52669248
2011024,0.52669248
2011025,0.55500928
2011026,0.53518752
2011027,0.56916768
2011028,0.5521776
2011029,0.60314784
2011030,0.53518752
2011031,0.51819744
2011032,0.50120736
2011033,0.48421728
2011034,0.51819744
2011035,0.51819744
2011036,0.53518752
2011037,0.53518752
2011038,0.50120736
2011039,0.43607872
2011040,0.4672272
2011041,0.4672272
2011042,0.45023712
2011043,0.48421728
2011044,0.50120736
2011045,0.58615776
2011046,0.58615776
2011047,0.637128
2011048,0.73906848
2011049,0.85516736
2011050,0.85516736
2011051,0.991088
2011052,0.77021696
2011053,0.9061376
2011054,1.00807808
