date,flow
2012001,0.53518752
2012002,0.52669248
2012003,0.53235584
2012004,0.5380192
2012005,0.5380192
2012006,0.53235584
2012007,0.53235584
2012008,0.52102912
2012009,0.5238608
2012010,0.5238608
2012011,0.51819744
2012012,0.51819744
2012013,0.51536576
2012014,0.51253408
2012015,0.5097024
2012016,0.5097024
2012017,0.495544
2012018,0.48421728
2012019,0.45590048
2012020,0.45590048
2012021,0.4672272
2012022,0.47572224
2012023,0.48704896
2012024,0.48421728
2012025,0.4813856
2012026,0.48988064
2012027,0.47855392
2012028,0.4813856
2012029,0.47572224
2012030,0.48988064
2012031,0.49837568
2012032,0.495544
2012033,0.49271232
2012034,0.48988064
2012035,0.48988064
2012036,0.48704896
2012037,0.4813856
2012038,0.4672272
2012039,0.49271232
2012040,0.48704896
2012041,0.4530688
2012042,0.45873216
2012043,0.4813856
2012044,0.4813856
2012045,0.48988064
2012046,0.48704896
2012047,0.4813856
2012048,0.45873216
2012049,0.43607872
2012050,0.43041536
2012051,0.42758368
2012052,0.42758368
2012053,0.43041536
2012054,0.43041536
2012055,0.42192032
2012056,0.43041536
2012057,0.42758368
2012058,0.43324704
2012059,0.41908864
2012060,0.495544
2012061,0.52669248
2012062,0.46156384
2012063,0.45873216
2012064,0.43607872
2012065,0.43607872
2012066,0.46439552
2012067,0.64562304
2012068,3.0015808
2012069,2.29082912
2012070,1.49795872
2012071,5.1819744
2012072,8.9481088
2012073,12.03464
2012074,8.9481088
2012075,4.0493024
2012076,1.90572064
2012077,1.40451328
2012078,1.26859264
2012079,1.16382048
2012080,1.2600976
2012081,1.17797888
2012082,1.07320672
2012083,1.00241472
2012084,0.94011776
2012085,0.88914752
2012086,0.82968224
2012087,0.7928704
2012088,0.77588032
2012089,0.73057344
2012090,0.77021696
2012091,0.75605856
2012092,0.75322688
2012093,0.73057344
2012094,0.8353456
2012095,0.82401888
2012096,0.77304864
2012097,0.73906848
2012098,0.71641504
2012099,0.70225664
2012100,0.68243488
2012101,0.65978144
2012102,0.6512864
2012103,0.6512864
2012104,0.6512864
2012105,0.6512864
2012106,0.778712
2012107,0.99958304
2012108,1.0335632
2012109,1.04205824
2012110,1.09586016
2012111,1.01374144
2012112,0.86649408
2012113,0.80419712
2012114,0.74756352
2012115,0.7220784
2012116,0.69659328
